"contig_name","Kingdom","Phylum","Class","Order","Family","Genus","Species","Strain"
"k141_319886_length_16141_cov_11.0170","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella",NA,NA
"k141_347533_length_15638_cov_47.0196","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,NA
"k141_140427_length_14793_cov_6.0000","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter",NA,NA
"k141_359107_length_10819_cov_17.0000","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella pneumoniae",NA
"k141_259462_length_10146_cov_7.0000","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter",NA,NA
"k141_335460_length_9928_cov_11.0000","Bacteria","Pseudomonadota","Gammaproteobacteria","Lysobacterales","Lysobacteraceae","Stenotrophomonas",NA,NA
"k141_393243_length_9926_cov_7.0000","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter",NA,NA
"k141_424514_length_9292_cov_8.0000","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella",NA,NA
"k141_375502_length_9174_cov_17.0000","Bacteria","Pseudomonadota","Gammaproteobacteria","Lysobacterales","Lysobacteraceae","Stenotrophomonas",NA,NA
"k141_67749_length_8925_cov_51.5041","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas capsici",NA
"k141_427937_length_8891_cov_7.0000","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax","Acidovorax sp. PRC11",NA
"k141_87933_length_7433_cov_49.3006","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas capsici",NA
"k141_262203_length_6250_cov_8.0000","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter",NA,NA
"k141_206532_length_5783_cov_6.0000","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter",NA,NA
"k141_459844_length_5141_cov_8.0000","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter",NA,NA
"k141_237489_length_5096_cov_8.0000","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter",NA,NA
"k141_158557_length_4616_cov_37.0000","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella",NA,NA
"k141_134325_length_3381_cov_12.0000","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella pneumoniae",NA
"k141_317670_length_2091_cov_8.0000","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Rhizobium","Rhizobium sp. Leaf202",NA
"k141_456537_length_1973_cov_15.0000","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella pneumoniae","Klebsiella pneumoniae subsp. pneumoniae DSM 30104 = JCM 1662 = NBRC 14940"
"k141_162893_length_1247_cov_74.0000","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Methylobacteriaceae","Methylobacterium","Methylobacterium sp. Leaf456",NA
"k141_290838_length_1194_cov_3.0000","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Methylobacteriaceae","Methylobacterium","Methylobacterium sp. R2-1",NA
"k141_112717_length_486218_cov_47.4594","Bacteria","Pseudomonadota","Gammaproteobacteria","Lysobacterales","Lysobacteraceae","Xanthomonas",NA,NA
"k141_97398_length_369138_cov_47.8560","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter",NA,NA
"k141_54959_length_361110_cov_387.5096","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas capsici",NA
"k141_67949_length_169906_cov_295.9304","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas capsici",NA
"k141_74784_length_169291_cov_49.8195","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter",NA,NA
"k141_47138_length_167310_cov_346.1133","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas capsici",NA
"k141_148182_length_144572_cov_287.3238","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas capsici",NA
"k141_124614_length_139098_cov_45.0808","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter",NA,NA
"k141_18400_length_126371_cov_48.7016","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter",NA,NA
"k141_59734_length_123622_cov_62.4193","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter",NA,NA
"k141_120519_length_113846_cov_55.4020","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter",NA,NA
"k141_166530_length_102877_cov_59.8556","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter",NA,NA
"k141_47475_length_82621_cov_48.7446","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter",NA,NA
"k141_121704_length_69262_cov_49.8378","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter",NA,NA
"k141_44571_length_61293_cov_57.4884","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter",NA,NA
"k141_172021_length_41014_cov_100.9378","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella",NA,NA
"k141_78169_length_38802_cov_71.3423","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella",NA,NA
"k141_103139_length_37944_cov_35.6270","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella",NA,NA
"k141_85168_length_36959_cov_87.1412","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella",NA,NA
"k141_131612_length_35623_cov_39.3090","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella",NA,NA
"k141_153782_length_34387_cov_92.6956","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter",NA,NA
"k141_22399_length_34056_cov_48.8172","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella",NA,NA
"k141_30390_length_29700_cov_47.0000","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea",NA,NA
"k141_48704_length_27501_cov_44.5071","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella",NA,NA
"k141_21105_length_24347_cov_27.8687","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella",NA,NA
"k141_142543_length_23064_cov_52.1854","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea",NA,NA
"k141_142475_length_21208_cov_82.3950","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter",NA,NA
"k141_167227_length_20593_cov_107.8344","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea",NA,NA
"k141_7548_length_17892_cov_14.0000","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea",NA,NA
"k141_113465_length_17283_cov_29.1823","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella pneumoniae",NA
"k141_145252_length_16948_cov_27.8235","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella",NA,NA
"k141_112450_length_16114_cov_15.1052","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella",NA,NA
"k141_140699_length_15828_cov_60.2922","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter",NA,NA
"k141_118065_length_14864_cov_25.6541","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella",NA,NA
"k141_9501_length_14624_cov_44.3193","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella",NA,NA
"k141_100143_length_12518_cov_88.7586","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella",NA,NA
"k141_132741_length_10701_cov_39.0649","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella",NA,NA
"k141_108612_length_8168_cov_477.5039","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,NA
"k141_3138_length_7436_cov_141.2939","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Paracidovorax","Paracidovorax wautersii",NA
"k141_35377_length_7178_cov_36.6484","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,NA
"k141_11500_length_6867_cov_27.1488","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella",NA,NA
"k141_49596_length_6544_cov_52.0592","Bacteria",NA,NA,NA,NA,NA,NA,NA
"k141_179847_length_6183_cov_25.1854","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella",NA,NA
"k141_75028_length_5827_cov_213.9756","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,NA
"k141_74760_length_5687_cov_8.0000","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea",NA,NA
"k141_31893_length_5556_cov_17.3793","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella",NA,NA
"k141_67937_length_4543_cov_12.0000","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea",NA,NA
"k141_18996_length_4219_cov_37.6479","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae",NA,NA,NA
"k141_82995_length_3962_cov_6.0414","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax","Acidovorax sp. PRC11",NA
"k141_53487_length_2487_cov_7.0000","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea",NA,NA
"k141_180962_length_2327_cov_20.0000","Bacteria","Pseudomonadota","Gammaproteobacteria","Lysobacterales","Lysobacteraceae","Stenotrophomonas",NA,NA
"k141_33872_length_1735_cov_4.0000","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Methylobacteriaceae","Methylobacterium",NA,NA
"k141_117615_length_1188_cov_5.0000","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Methylobacteriaceae","Methylobacterium",NA,NA
"k141_126078_length_510633_cov_461.1299","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Delftia",NA,NA
"k141_88921_length_168969_cov_178.9217","Bacteria","Pseudomonadota","Gammaproteobacteria","Lysobacterales","Lysobacteraceae","Xanthomonas",NA,NA
"k141_70436_length_13874_cov_47.5034","Bacteria","Pseudomonadota",NA,NA,NA,NA,NA,NA
"k141_50171_length_11920_cov_107.2036","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas capsici",NA
"k141_46458_length_1595_cov_26.8680","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas cichorii",NA
"k141_77482_length_1136_cov_5.0000","Bacteria","Pseudomonadota","Gammaproteobacteria","Lysobacterales","Lysobacteraceae","Stenotrophomonas","Stenotrophomonas geniculata",NA
"k141_41906_length_222488_cov_1145.4942","Bacteria","Pseudomonadota","Gammaproteobacteria","Lysobacterales","Lysobacteraceae","Xanthomonas",NA,NA
"k141_23131_length_62731_cov_67.4147","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas capsici",NA
"k141_19754_length_37753_cov_87.7921","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas capsici",NA
"k141_19742_length_26915_cov_64.0514","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas capsici",NA
"k141_39884_length_16837_cov_34.3892","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas capsici",NA
"k141_46083_length_10097_cov_55.9224","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas capsici",NA
"k141_10523_length_5099_cov_10.0000","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,NA
"k141_31162_length_1413_cov_4.0000","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Pectobacteriaceae","Pectobacterium",NA,NA
"k141_72475_length_1212189_cov_132.1259","Bacteria","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Saccharibacillus",NA,NA
"k141_29701_length_800413_cov_160.0087","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Winslowiella",NA,NA
"k141_38984_length_308029_cov_380.9585","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas capsici",NA
"k141_217653_length_223184_cov_160.0634","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Winslowiella",NA,NA
"k141_90444_length_165762_cov_163.4552","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Winslowiella",NA,NA
"k141_230019_length_127898_cov_82.7867","Bacteria","Pseudomonadota","Gammaproteobacteria","Lysobacterales","Lysobacteraceae","Xanthomonas",NA,NA
"k141_19684_length_122242_cov_155.9772","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Winslowiella",NA,NA
"k141_47075_length_118053_cov_360.0920","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas capsici",NA
"k141_42772_length_117135_cov_369.1302","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas capsici",NA
"k141_205441_length_83512_cov_357.1833","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas capsici",NA
"k141_175582_length_83030_cov_370.0752","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas capsici",NA
"k141_7320_length_54703_cov_245.9281","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,NA
"k141_186411_length_41774_cov_246.9871","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,NA
"k141_40351_length_33119_cov_598.9182","Bacteria","Pseudomonadota","Gammaproteobacteria","Lysobacterales","Lysobacteraceae","Stenotrophomonas",NA,NA
"k141_131763_length_23974_cov_278.3857","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,NA
"k141_7217_length_17545_cov_144.2997","Bacteria","Pseudomonadota","Gammaproteobacteria","Lysobacterales","Lysobacteraceae","Stenotrophomonas","Stenotrophomonas sp. C3(2023)",NA
"k141_248420_length_16878_cov_228.0870","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,NA
"k141_117769_length_4422_cov_11.0000","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax","Acidovorax sp. PRC11",NA
"k141_44047_length_4324_cov_4.0000","Bacteria",NA,NA,NA,NA,NA,NA,NA
"k141_184682_length_4117_cov_336.0428","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas sp. PA1(2017)",NA
"k141_236979_length_3863_cov_6.0000","Bacteria","Bacteroidota","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium",NA,NA
"k141_140994_length_1364_cov_245.5871","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas sp. PA1(2017)",NA
"k141_49099_length_1105_cov_24.7251","Bacteria","Pseudomonadota","Gammaproteobacteria","Lysobacterales","Lysobacteraceae","Stenotrophomonas","Stenotrophomonas maltophilia",NA
"k141_47564_length_308029_cov_185.6201","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas capsici",NA
"k141_7742_length_222176_cov_609.8738","Bacteria","Pseudomonadota","Gammaproteobacteria","Lysobacterales","Lysobacteraceae","Xanthomonas",NA,NA
"k141_63164_length_118053_cov_193.0909","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas capsici",NA
"k141_4638_length_117114_cov_167.4169","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas capsici",NA
"k141_59686_length_83512_cov_164.4813","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas capsici",NA
"k141_6711_length_83177_cov_185.2772","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas capsici",NA
"k141_21874_length_23233_cov_39.1419","Bacteria","Pseudomonadota",NA,NA,NA,NA,NA,NA
"k141_27968_length_6953_cov_8.7438","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,NA
"k141_49548_length_3284_cov_106.0000","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae",NA,NA,NA
"k141_328838_length_198949_cov_28.1846","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea",NA,NA
"k141_6330_length_196302_cov_21.0000","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea",NA,NA
